Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A256FA28 May 19 2015 09_37.obj	89.55	100.95	21.09	31.25	32.26	24.99	24.58	41.47	41.77	51.40	50.13	25.07	24.58	44.44	49.61	56.99	59.28	44.69	44.85	96.79	22.95	19.25	44.83	32.21	31.75	30.66	91.77	14.88	39.27	38.97	146.05	96.26	149.33	32.53	79.86	79.90	26.45	26.75	109.63	109.94	74.17	25.63	26.18	32.21	38.62	94.83	14.85	91.11	112.07	102.44	111.23	81.26	81.01	40.24	39.92	112.06	29.50	51.05	49.47	23.39	23.69	12.35	12.35	39.69	73.01	112.07	40.98	47.17	114.17	113.94	113.72	107.04	80.65	101.75	137.50	13.52	11.37	24.36	24.57	76.42	77.24	82.57	172.86	59.96	59.27	74.78	74.78	85.78	37.32	37.43	41.94	42.19	47.14	85.94	112.07	16.44	16.88	32.18	32.51	38.77	41.13	96.26	73.01	112.07	38.62	39.69	21.92	24.57	40.82	31.25	32.26	11.37	21.80	88.22	65.32	29.69	72.12	59.27	39.92	24.58	32.21	102.46	70.26	59.28	30.66	34.51	44.00	41.88	42.58	46.83	56.22	54.25	57.76	11.12	23.56	15.72	14.22	1.87	
A257FA33 May 19 2015 09_47.obj	92.86	97.87	17.71	28.14	31.27	24.37	24.78	38.83	39.00	51.28	51.78	24.47	24.78	44.86	42.52	57.68	56.66	45.01	44.97	94.54	22.81	18.08	41.87	27.68	30.25	30.68	90.14	14.21	38.97	40.04	148.63	93.12	151.17	34.60	80.16	75.18	25.33	26.29	110.96	111.59	73.13	24.68	25.84	27.68	42.21	96.76	12.74	89.52	110.86	107.69	109.73	82.22	82.24	38.14	38.12	110.86	25.50	50.81	51.40	23.42	24.01	12.41	12.50	38.41	79.04	107.84	41.14	40.82	108.98	109.25	110.82	106.75	80.86	100.52	138.41	12.20	13.15	27.22	28.60	75.57	75.99	90.64	174.50	63.27	63.01	75.08	75.08	75.80	36.82	37.13	43.55	43.51	43.90	90.88	107.84	15.91	16.52	31.24	33.36	36.38	38.80	93.12	79.04	110.86	42.21	38.41	19.21	28.60	48.67	28.14	31.27	13.15	20.70	93.29	60.89	25.47	67.69	63.01	38.12	24.78	27.68	98.15	70.47	56.66	30.68	34.08	47.04	43.79	46.41	46.29	54.59	54.00	56.81	9.97	19.45	16.96	13.28	1.41	
A258FA30 May 19 2015 10_00.obj	100.45	88.68	18.07	29.22	34.25	24.58	26.50	36.15	40.86	47.85	52.98	24.58	25.38	54.21	47.65	47.89	49.62	36.27	36.50	102.85	22.51	19.61	42.54	30.95	28.79	29.71	99.12	15.17	37.90	37.52	144.65	103.09	139.19	32.03	70.62	80.92	24.60	24.65	105.38	103.09	82.35	24.44	24.59	30.95	37.10	101.29	13.86	97.41	108.20	102.33	107.45	71.50	71.37	36.44	37.88	108.18	28.00	48.80	50.99	24.54	25.03	11.15	11.30	35.44	83.23	101.57	38.99	42.43	102.88	103.07	118.15	104.31	71.64	101.36	126.51	14.39	12.95	27.19	26.99	65.07	67.93	96.30	159.12	61.70	61.89	65.54	65.54	86.83	34.87	35.19	38.36	37.64	51.79	96.21	101.57	16.03	16.68	30.77	33.42	39.56	41.36	103.09	83.23	108.20	37.10	35.44	20.95	26.99	41.55	29.22	34.25	12.95	24.50	97.70	60.05	27.73	66.85	61.89	37.88	25.38	30.95	92.73	61.78	49.62	29.71	29.51	51.09	45.05	48.81	51.53	55.42	51.66	56.49	12.88	22.41	15.09	13.41	1.50	
A259FA24A May 19 2015 09_54.obj	89.90	97.97	20.21	28.53	29.20	24.64	23.51	38.89	38.45	47.16	48.31	23.30	23.51	42.93	53.03	56.26	57.12	44.33	45.68	96.99	22.72	19.55	37.97	31.15	25.71	25.33	89.92	11.70	36.12	36.59	146.65	94.11	145.82	30.09	77.76	78.16	22.99	24.19	106.25	104.91	78.50	22.22	23.76	31.15	39.07	91.99	13.87	90.92	100.43	96.15	100.09	78.62	78.53	37.76	38.11	100.43	27.50	46.89	48.27	21.61	22.74	11.98	11.82	34.71	74.21	108.90	39.69	51.17	110.25	109.79	106.18	97.77	78.83	93.29	133.03	12.28	11.20	23.82	23.76	71.96	74.95	84.94	167.49	56.45	56.99	72.68	72.68	81.55	33.67	34.01	41.55	41.07	42.98	86.87	108.90	14.46	15.28	28.35	26.54	38.19	39.97	94.11	74.21	100.43	39.07	34.71	23.11	23.76	39.57	28.53	29.20	11.20	21.10	89.50	63.41	27.75	70.21	56.99	38.11	23.51	31.15	99.60	68.45	57.12	25.33	33.48	47.48	39.34	45.41	44.40	49.51	46.29	54.10	10.93	22.79	12.91	12.07	0.89	
A260FA28 May 19 2015 10_06.obj	84.58	87.74	15.96	33.52	29.59	20.85	21.12	33.04	33.35	41.31	42.76	20.83	21.12	39.70	40.40	55.43	55.17	42.11	42.51	86.88	23.84	19.82	37.84	25.45	25.67	26.12	82.83	11.31	33.06	34.10	130.67	86.74	134.63	33.04	71.77	63.45	22.63	24.21	99.04	96.71	69.68	22.65	24.08	25.45	39.90	86.62	11.50	85.20	94.85	93.89	93.92	72.99	73.64	30.89	31.54	94.85	23.00	39.64	41.70	19.92	20.65	11.33	11.21	37.27	70.56	97.22	39.53	39.96	98.18	98.08	102.48	90.22	72.55	95.49	122.50	10.66	10.25	21.70	21.52	69.66	70.73	79.95	158.83	49.51	50.35	66.69	66.69	73.47	29.93	30.45	39.48	38.75	32.36	80.80	97.22	15.40	14.95	27.52	28.82	30.99	32.46	86.74	70.56	94.85	39.90	37.27	21.24	21.52	37.01	33.52	29.59	10.25	15.50	85.41	55.10	22.99	61.90	50.35	31.54	21.12	25.45	88.39	62.95	55.17	26.12	32.69	42.04	38.71	42.55	41.87	46.34	41.25	53.55	9.48	16.19	14.92	11.89	0.87	
A261FA38b June 2 2015 05_49.obj	81.80	90.31	20.31	22.96	32.59	22.18	25.57	33.43	33.25	41.76	40.58	22.18	22.85	35.48	37.51	51.76	50.43	40.27	40.81	83.20	23.04	19.18	35.38	31.08	25.92	24.00	79.82	12.40	33.92	34.07	141.41	83.04	136.90	30.85	70.00	76.23	21.24	21.69	104.20	100.30	66.71	20.88	21.48	31.08	35.70	84.25	13.35	81.63	96.32	91.37	96.27	71.66	71.06	32.70	32.50	96.33	26.50	41.33	40.12	22.06	22.97	12.76	12.58	35.04	66.58	101.08	36.47	36.27	102.24	101.97	103.65	94.39	71.38	94.27	124.00	10.05	12.08	24.30	23.87	66.11	68.40	76.04	159.00	49.50	50.20	64.92	64.92	70.39	30.73	30.35	37.94	37.94	37.55	78.33	101.08	14.73	16.09	28.18	27.33	37.39	38.84	83.04	66.58	96.32	35.70	35.04	19.15	23.87	36.22	22.96	32.59	12.08	18.10	81.25	58.93	26.69	65.73	50.20	32.50	22.85	31.08	90.48	59.40	50.43	24.00	30.03	38.93	39.33	37.68	43.99	48.88	45.50	50.78	10.77	23.26	15.27	11.28	0.89	
A264FA34 June 2 2015 05_04.obj	97.70	98.42	15.75	26.43	34.39	28.30	28.14	38.87	39.22	47.76	49.21	28.37	28.14	44.94	47.16	55.95	59.01	43.12	47.10	99.81	29.25	19.14	44.78	28.81	31.02	29.53	97.72	15.74	38.40	40.80	144.58	100.95	153.16	35.38	82.67	73.76	25.69	26.07	114.27	110.37	80.12	25.68	26.26	28.68	40.75	98.34	12.33	95.50	104.27	102.09	104.13	83.24	83.18	36.92	37.12	104.28	24.50	46.05	47.94	26.23	26.72	15.43	15.25	40.60	82.11	111.48	43.91	43.93	112.50	112.39	122.00	103.16	83.96	109.05	135.96	12.64	12.87	32.76	30.31	73.60	79.66	97.53	174.92	57.52	57.87	77.59	77.59	81.57	35.90	36.66	45.38	45.21	44.74	96.68	111.44	17.59	12.99	34.79	34.39	36.51	37.24	100.95	82.11	104.27	40.75	40.60	23.60	30.31	41.14	26.43	34.39	12.87	23.70	98.60	63.21	24.72	70.01	57.87	37.12	28.14	28.81	101.76	72.95	59.01	29.53	32.80	49.66	46.95	46.84	50.75	53.95	49.00	55.23	13.06	21.84	19.00	13.21	0.95	
A265FA26 June 2 2015 05_32.obj	87.95	91.40	16.69	32.62	30.20	24.71	25.07	37.09	37.68	48.61	48.87	24.88	25.07	41.46	43.55	54.35	54.58	41.65	42.90	88.96	21.87	18.63	39.99	25.92	25.81	27.08	84.76	14.48	36.94	38.30	135.41	88.79	141.43	34.74	74.71	68.50	23.25	24.69	106.94	104.32	71.34	24.14	25.18	25.92	40.60	92.09	11.70	87.39	101.58	100.50	100.81	75.40	75.39	35.52	36.28	101.57	23.50	47.27	48.07	23.55	23.88	14.24	11.75	40.24	74.53	100.63	39.47	41.75	101.82	101.45	108.51	98.33	75.50	99.74	130.17	11.72	11.93	23.62	25.16	71.17	72.09	81.96	165.28	59.42	59.31	69.63	69.63	73.83	34.56	35.55	40.43	40.30	38.41	83.32	100.63	16.60	16.47	29.86	28.69	33.08	35.42	88.79	74.53	101.58	40.60	40.24	17.73	25.16	44.85	32.62	30.20	11.93	18.90	89.69	56.79	23.40	63.59	59.31	36.28	25.07	25.92	91.44	65.53	54.58	27.08	33.06	44.57	38.71	42.74	45.03	50.15	49.43	52.10	9.23	17.56	17.15	12.52	0.82	
A267FA54a June 2 2015 06_43.obj	84.66	83.39	14.43	29.96	28.68	25.22	24.69	50.15	35.36	50.03	40.21	25.22	24.69	49.57	44.30	49.37	48.86	37.29	39.20	90.58	20.07	19.01	41.12	27.53	27.71	27.42	85.52	10.52	34.27	34.72	128.72	90.48	131.13	32.78	68.95	68.42	24.77	25.08	94.93	95.68	78.21	24.56	25.36	27.53	33.83	84.84	12.62	86.14	92.47	89.25	91.33	69.61	69.76	33.75	34.08	92.47	25.00	38.82	39.08	23.48	23.42	10.73	13.29	35.91	77.29	96.48	40.87	36.82	97.42	97.27	105.96	88.24	69.68	92.38	119.46	13.39	13.01	23.59	23.71	67.59	65.85	82.99	149.79	50.06	50.11	63.87	63.87	78.00	32.46	32.72	37.42	37.01	47.97	81.18	96.48	16.78	17.05	29.29	28.17	33.80	34.62	90.48	77.29	92.47	33.83	35.91	18.78	23.71	36.65	29.96	28.68	13.01	22.00	82.09	56.11	25.24	62.91	50.11	34.08	24.69	27.53	88.16	60.63	48.86	27.42	29.18	39.23	41.88	41.97	42.51	44.44	39.98	52.44	13.09	18.96	13.34	11.56	0.79	
A268FA35 June 2 2015 07_06.obj	97.67	93.33	17.59	34.50	35.76	24.83	25.39	38.71	30.00	45.88	38.17	24.78	25.39	50.89	68.85	55.65	53.60	40.50	37.26	114.33	22.42	18.77	39.02	31.55	31.47	30.90	108.53	17.34	38.99	38.97	145.61	113.22	143.72	32.48	75.74	82.06	24.85	25.88	109.75	106.14	88.81	24.81	26.19	31.55	37.02	97.57	10.33	107.95	101.63	101.62	101.01	77.43	77.17	37.93	37.97	101.64	20.50	45.38	45.13	23.80	24.77	12.01	11.88	35.59	89.11	107.29	48.27	68.86	107.77	107.78	124.89	101.58	79.18	109.92	130.91	12.32	12.66	30.66	29.75	71.45	72.25	96.41	168.30	54.56	54.13	70.66	70.66	94.26	36.05	35.68	42.15	41.21	56.55	96.19	107.29	15.97	17.41	33.67	47.67	39.83	42.23	113.22	89.11	101.63	37.02	35.59	23.67	29.75	43.37	34.50	35.76	12.66	25.30	97.63	62.08	20.66	68.88	54.13	37.97	25.39	31.55	97.94	66.39	53.60	30.90	31.85	50.45	45.69	46.60	50.95	55.22	47.62	53.96	13.96	21.76	15.26	15.82	0.49	
A269FA43 June 18 2015 04_00.obj	118.80	82.60	9.41	35.06	34.59	26.25	26.46	46.30	45.53	59.69	60.08	26.30	26.46	56.11	55.33	55.42	55.39	36.11	37.64	109.24	29.15	20.82	39.46	28.78	44.32	42.48	104.29	16.78	45.66	46.66	146.10	109.87	140.72	34.63	73.18	84.11	37.57	35.33	106.05	105.15	90.76	32.91	31.27	28.78	41.04	118.90	11.47	105.80	120.28	119.72	120.23	74.26	73.92	48.63	50.65	120.28	23.00	60.51	61.48	25.32	26.49	12.06	11.71	49.78	98.56	101.97	54.75	54.32	103.38	103.12	133.59	120.20	75.03	117.10	126.03	12.43	12.90	28.39	30.18	71.22	73.48	119.55	162.31	69.21	71.49	68.10	68.10	90.35	44.51	44.32	40.12	40.61	41.95	117.14	101.97	18.71	18.73	45.15	43.70	41.00	43.10	109.87	98.56	120.28	41.04	49.78	24.89	30.18	43.92	35.06	34.59	12.90	20.40	117.37	55.39	22.94	62.19	71.49	50.65	26.46	28.78	92.95	64.17	55.39	42.48	31.14	59.33	57.77	59.00	59.65	60.94	59.29	60.94	19.37	21.57	20.30	15.92	1.15	
A271FL21a July 30 2015 02_16.obj	80.79	98.80	19.86	27.83	28.59	24.47	24.27	38.00	37.42	42.43	42.35	24.46	24.27	38.22	40.73	56.88	56.68	45.78	45.45	88.23	21.57	18.59	37.25	29.65	25.24	23.59	82.34	13.09	34.10	34.49	141.69	86.53	147.96	30.24	78.95	75.58	24.25	22.36	106.94	104.42	67.51	23.32	22.08	29.65	36.63	84.54	12.96	83.27	94.59	91.71	94.30	79.57	79.32	35.76	35.88	94.59	26.00	40.87	41.53	23.01	23.13	15.08	12.28	36.47	65.53	108.60	36.56	39.37	110.65	109.78	101.10	92.92	80.13	91.90	132.66	10.34	10.68	23.47	23.51	73.27	73.40	74.64	170.51	50.87	52.32	73.87	73.87	74.07	33.71	33.34	40.80	41.51	38.92	77.34	108.60	15.68	15.52	29.47	27.16	36.81	38.77	86.53	65.53	94.59	36.63	36.47	19.97	23.51	38.85	27.83	28.59	10.68	19.30	81.35	62.40	25.91	69.20	52.32	35.88	24.27	29.65	99.12	69.47	56.68	23.59	34.16	39.84	37.43	39.43	41.23	49.22	45.04	49.51	9.79	21.96	14.11	12.17	1.18	
A272FL45b July 30 2015 02_23-BkNeck.obj	117.17	86.21	16.77	35.22	36.42	28.16	27.26	46.54	41.93	55.88	52.97	28.14	27.26	57.80	69.05	50.64	51.33	37.32	33.73	116.50	26.28	20.07	48.27	31.29	37.83	35.26	111.34	17.09	41.44	41.68	150.12	113.86	138.72	43.36	69.44	91.27	31.08	32.32	102.03	98.54	105.57	30.83	31.06	31.85	38.22	114.25	7.39	110.79	117.54	115.33	110.23	70.10	69.95	45.91	44.51	117.54	14.46	55.72	54.33	26.32	26.44	14.00	11.29	45.95	104.27	100.72	53.99	55.46	101.69	101.34	131.09	111.98	74.71	116.90	124.15	13.84	14.44	31.12	32.08	69.84	71.52	113.93	158.70	64.55	65.65	64.36	64.36	101.21	40.11	39.11	39.11	38.64	48.91	112.97	100.91	18.98	19.57	39.63	39.28	46.02	45.25	113.86	104.27	117.54	38.22	45.95	24.82	32.08	43.86	35.22	36.42	14.44	23.20	114.90	56.38	14.59	63.18	65.65	44.51	27.26	31.29	91.90	60.62	51.33	35.26	33.41	65.95	46.96	62.91	54.19	55.23	60.86	56.63	14.52	21.97	18.78	16.35	0.44	
A273FA20a July 30 2015 02_31.obj	108.71	93.76	15.08	36.62	38.77	27.11	28.97	46.04	47.10	58.33	59.65	27.11	27.53	50.40	51.43	51.76	50.71	38.28	37.43	112.60	26.73	19.79	48.71	29.44	32.90	34.04	110.57	17.73	45.20	45.69	142.25	112.99	146.52	36.46	78.67	82.46	27.04	27.88	109.62	109.43	90.92	27.08	27.81	29.44	38.49	107.31	13.09	108.82	116.10	113.82	115.88	79.23	79.18	45.23	46.17	116.10	26.00	58.09	59.40	27.40	27.51	9.32	12.20	39.47	92.78	108.11	46.37	47.44	109.06	108.96	133.79	114.04	79.70	118.77	132.42	15.46	14.78	29.02	29.00	72.70	71.52	103.36	167.79	68.74	71.17	73.59	73.59	89.64	43.00	44.01	41.67	41.38	50.71	103.16	108.11	16.53	18.37	35.62	37.72	40.26	42.20	112.99	92.78	116.10	38.49	39.47	21.84	29.00	40.80	36.62	38.77	14.78	25.50	103.46	62.14	26.18	68.94	71.17	46.17	27.53	29.44	98.79	69.35	50.71	34.04	30.86	52.97	50.13	52.03	56.57	59.84	56.40	59.68	14.36	20.65	19.30	14.20	0.84	
A283FR24 July 30 2015 04_01.obj	80.94	93.60	19.82	25.31	31.99	23.07	25.14	36.33	35.35	42.64	42.59	23.07	23.80	35.82	38.96	52.64	51.07	42.08	40.81	87.90	24.07	18.72	39.86	29.64	24.57	23.44	84.97	13.40	35.40	35.11	139.60	87.87	142.99	30.77	73.78	72.99	23.26	17.79	106.53	106.10	70.40	22.43	17.65	29.64	38.59	86.74	13.88	85.76	94.68	90.84	93.56	74.46	74.81	34.15	33.50	94.67	27.50	41.44	41.66	23.46	23.47	11.01	13.17	34.59	69.84	103.42	34.37	38.41	104.14	104.14	104.86	91.05	90.24	97.42	128.47	12.64	11.62	25.83	26.78	69.67	68.64	77.06	165.16	51.55	51.92	68.70	68.70	73.86	33.26	32.22	41.03	40.66	40.92	77.15	103.42	16.05	8.66	26.19	26.70	35.45	37.54	87.87	69.84	94.68	38.59	34.59	19.50	26.78	41.10	25.31	31.99	11.62	17.50	81.51	59.08	27.77	65.88	51.92	33.50	23.80	29.64	92.41	62.77	51.07	23.44	29.40	39.03	38.06	38.06	42.72	48.24	43.70	50.92	9.82	20.54	16.93	11.90	0.73	
A287FA31 September 23 2015 02_24.obj	83.67	91.45	17.57	30.70	30.57	23.76	23.29	34.40	34.63	42.64	42.40	23.74	23.29	39.57	41.10	54.77	54.67	42.83	42.56	90.63	19.83	18.63	37.03	26.94	27.75	25.83	86.78	11.81	34.11	34.25	140.65	89.60	141.64	30.09	73.87	67.89	23.12	22.69	106.56	103.32	70.67	22.37	22.48	26.94	39.28	86.64	11.97	86.00	93.54	92.14	92.90	74.34	74.05	31.96	32.20	93.54	24.00	40.98	40.89	22.32	22.11	11.70	11.66	34.87	70.89	100.82	37.59	38.71	101.39	101.49	105.48	89.91	74.82	93.29	129.28	11.39	11.14	24.26	21.49	69.86	71.37	79.68	163.48	50.80	51.26	68.79	68.79	79.85	31.53	31.26	40.94	41.54	40.55	81.38	100.82	14.84	14.56	30.15	29.46	33.58	34.31	89.60	70.89	93.54	39.28	34.87	18.32	21.49	41.00	30.70	30.57	11.14	18.80	84.89	57.47	23.95	64.27	51.26	32.20	23.29	26.94	91.74	64.79	54.67	25.83	32.06	41.35	39.97	40.91	42.64	46.96	45.25	48.24	9.37	16.31	14.40	12.31	0.68	
A289FR23 September 23 2015 03_52.obj	96.63	94.61	19.33	31.98	32.59	26.50	27.62	41.02	40.60	49.17	49.57	26.50	25.88	43.79	44.88	54.34	53.75	42.50	42.37	93.25	25.32	18.91	42.74	30.23	29.19	27.19	89.99	14.93	40.11	40.14	149.34	91.28	146.88	32.02	75.29	79.39	26.56	25.53	109.38	107.31	77.55	25.10	25.48	30.23	41.64	98.40	12.99	91.20	108.09	104.56	107.98	75.54	75.47	39.15	37.62	108.09	26.00	47.75	47.89	26.01	25.94	12.20	12.00	36.51	79.29	105.51	40.91	41.48	106.51	106.54	110.60	105.48	76.63	102.53	133.54	13.79	13.25	25.74	26.46	72.16	73.85	92.42	169.58	59.04	59.78	70.21	70.21	80.39	38.28	37.39	41.26	41.42	40.10	94.24	105.51	16.28	16.59	30.68	29.97	38.78	40.60	91.28	79.29	108.09	41.64	36.51	21.71	26.46	43.76	31.98	32.59	13.25	19.10	96.49	61.25	25.98	68.05	59.78	37.62	25.88	30.23	96.09	65.87	53.75	27.19	32.48	50.40	43.77	47.68	48.81	53.32	52.70	55.35	10.90	21.24	16.69	12.98	1.03	
A290FA26a October 6 2015 01_20.obj	95.84	91.92	18.07	24.62	34.88	22.98	22.96	37.69	38.12	47.62	48.23	23.14	22.96	41.05	45.65	50.75	51.38	35.79	37.29	100.78	25.61	19.13	43.05	28.49	29.84	28.87	100.62	16.29	34.57	35.05	141.48	101.47	138.82	33.26	73.85	76.45	19.06	22.17	111.29	106.74	86.52	21.68	23.27	28.49	38.21	97.33	11.79	95.63	105.58	104.21	105.56	74.61	74.60	35.70	36.73	105.57	24.00	46.49	47.12	21.18	21.65	11.92	11.92	61.40	85.36	102.34	62.70	43.12	103.21	102.95	134.22	103.76	75.40	113.14	126.34	13.69	13.26	29.16	26.00	69.35	71.58	93.89	161.08	59.44	60.20	68.77	68.77	91.61	34.12	34.54	40.63	39.86	49.54	94.48	102.34	14.39	15.24	26.44	28.75	37.87	38.58	101.47	85.36	105.58	38.21	61.40	20.29	26.00	38.78	24.62	34.88	13.26	24.60	96.13	59.08	23.58	65.88	60.20	36.73	22.96	28.49	93.39	64.90	51.38	28.87	26.70	49.38	45.05	47.72	47.99	53.96	50.94	54.59	10.42	19.65	17.79	12.34	0.61	
A291FA22 October 6 2015 01_25.obj	102.86	94.71	19.76	32.58	31.49	26.98	26.93	42.76	42.99	55.03	56.46	27.09	26.93	44.33	47.80	57.06	56.58	42.67	42.20	99.50	23.55	18.79	42.74	30.83	30.49	30.17	95.12	14.15	40.38	40.88	147.60	98.45	147.42	33.60	74.95	82.74	24.70	24.48	108.15	106.59	81.95	23.78	24.00	30.83	39.13	104.31	13.00	94.07	113.67	109.96	113.67	75.75	75.52	40.31	40.32	113.67	26.00	53.98	55.28	26.30	26.34	12.31	12.11	37.53	84.49	105.78	43.21	46.51	106.95	106.78	114.36	111.10	76.48	103.08	132.34	11.63	12.77	27.10	28.50	74.23	74.40	97.64	168.12	63.88	66.78	69.87	69.87	85.27	38.84	39.16	41.59	41.25	39.94	98.94	105.78	16.78	15.78	32.03	31.90	40.02	42.72	98.45	84.49	113.67	39.13	37.53	20.77	28.50	44.44	32.58	31.49	12.77	18.60	102.37	61.74	25.99	68.54	66.78	40.32	26.93	30.83	96.44	65.61	56.58	30.17	32.89	53.82	45.06	51.08	51.67	57.13	56.02	57.60	11.07	21.61	17.12	14.13	1.00	
A294FR21 October 6 2015 01_39.obj	86.42	91.86	18.36	21.48	24.27	23.58	23.52	37.10	36.46	46.18	46.21	23.62	23.52	51.86	53.41	52.88	49.18	37.95	37.94	87.63	21.98	18.24	41.32	28.78	29.28	25.70	84.24	13.55	35.65	36.05	147.85	86.83	143.53	34.88	73.51	74.52	23.40	23.87	109.10	106.64	69.85	23.01	23.51	28.78	39.02	89.16	12.36	82.03	96.14	94.61	96.02	73.88	74.39	36.38	35.62	96.14	24.50	45.92	45.87	23.24	22.88	11.70	11.85	39.91	70.64	102.29	94.70	95.71	103.44	103.32	106.24	95.16	74.79	97.76	128.70	9.01	10.28	23.43	24.63	67.19	67.15	80.42	165.93	53.90	54.39	68.43	68.43	73.65	34.07	34.09	38.46	39.24	63.92	82.86	102.29	15.29	15.72	29.46	25.91	36.77	37.75	86.83	70.64	96.14	39.02	39.91	19.79	24.63	41.95	21.48	24.27	10.28	22.80	86.23	59.06	24.72	65.86	54.39	35.62	23.52	28.78	93.07	64.29	49.18	25.70	28.44	40.93	41.87	43.76	42.55	48.95	45.94	50.14	10.42	21.65	14.16	12.00	1.03	
